url,url_hash,source,score,lastmod,changefreq,priority
https://docs.python.org/3/c-api/bytes.html,8a3d9b3e6d9f2eac17f37c619acc23b1bfe56edfa85e4c077c81edb5a9d95284,link_depth1,50,,,
https://docs.python.org/3/c-api/call.html,4aadaa63c32e434dd6ab8b896d6324ffa4ac5655b774c94213bf66eb95abecaf,link_depth1,50,,,
https://docs.python.org/3/c-api/capsule.html,19a2e8e899faa7e93d263bb44cd19226c0f5930c231befcbc5c8113aad8f100b,link_depth1,50,,,
https://docs.python.org/3/c-api/cell.html,c0d68a31797701c7cf28b34ee47c1d9df4914aca89ee8b93d2064289a34aa425,link_depth1,50,,,
https://docs.python.org/3/c-api/code.html,32f3f774e79da72546023fee60f290150e8dd5ac8bcdae839a0eb2fc3c125cb4,link_depth1,50,,,
https://docs.python.org/3/c-api/codec.html,37d0bcf3c5873ba5a02bea4ce03b2ef7c844eb4469b03228a77067ffe01bd290,link_depth1,50,,,
https://docs.python.org/3/c-api/complex.html,cac7d54100332deb67605a80705c623138abbd4b89c537a5e846c51789da5fb5,link_depth1,50,,,
https://docs.python.org/3/c-api/concrete.html,06d5338f1b272ed782fe82bcb53c5141c909e67deec3a85cfa95e9bfeae82336,link_depth1,50,,,
https://docs.python.org/3/c-api/contextvars.html,da6e2a31096a04b66f200d47f01e43a8172d5fb339f46b661fdfdbb9a11a1674,link_depth1,50,,,
https://docs.python.org/3/c-api/conversion.html,294d88f55dced36eb586271487bcf85ab6ebf75d0a0cf3b9939ec4615979a176,link_depth1,50,,,
https://docs.python.org/3/c-api/coro.html,22ffa10816f5f9f8ce6f029b6f5053177613e936a04af21eeb3ca2b52809597a,link_depth1,50,,,
https://docs.python.org/3/c-api/curses.html,b15d364106389416f8f159e1be20db24b11f7d2bcf1ded0f5e2703c7fd074bce,link_depth1,50,,,
https://docs.python.org/3/c-api/datetime.html,e6be4d816ef77f787c652a4e68246fef1da7069bc7f3e89b5e3348111091f90a,link_depth1,50,,,
https://docs.python.org/3/c-api/descriptor.html,4b3701172b1fc453e40dae1a11d81a03acf16dcac32a642b98c57804adb3da52,link_depth1,50,,,
https://docs.python.org/3/c-api/dict.html,a5c32531b5f7c655dc930f5b7e33e760c67ff968613e9c845894388711542de8,link_depth1,50,,,
https://docs.python.org/3/c-api/exceptions.html,77d451a26666ac6511f74061bc334e719dbe5c662bf60b3527e207f06b51e079,link_depth1,50,,,
https://docs.python.org/3/c-api/extension-modules.html,ff11aac40ba02a5aa5fb947ad41d1d20c8b6402af2ae50b97cb6bcbb69e3064e,link_depth1,50,,,
